ref_area,indicator,source,sex,classif1,classif2,time,obs_value,note_source
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y55-59,,1991,188411.139,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_Y60-64,,1991,161830.892,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_5YRBANDS_YGE65,,1991,337331.819,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_TOTAL,,1991,2724302.513,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y00-04,,1991,333827.716,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y05-09,,1991,301085.862,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y10-14,,1991,273052.286,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y15-19,,1991,265235.981,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y20-24,,1991,252662.062,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y25-29,,1991,228182.151,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y30-34,,1991,199853.479,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y35-39,,1991,181737.691,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y40-44,,1991,147775.73,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y45-49,,1991,117522.896,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y50-54,,1991,107535.315,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y55-59,,1991,93349.607,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_Y60-64,,1991,78500.968,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_5YRBANDS_YGE65,,1991,143980.769,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_TOTAL,,1991,2688368.174,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y00-04,,1991,315498.211,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y05-09,,1991,285927.203,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y10-14,,1991,260473.475,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y15-19,,1991,253862.509,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y20-24,,1991,243384.995,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y25-29,,1991,219958.374,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y30-34,,1991,193209.945,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y35-39,,1991,176193.592,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y40-44,,1991,145075.919,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y45-49,,1991,115800.644,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y50-54,,1991,107240.802,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y55-59,,1991,95061.532,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_Y60-64,,1991,83329.925,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_5YRBANDS_YGE65,,1991,193351.048,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_TOTAL,,1991,5412670.681,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_YLT15,,1991,1769864.752,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y15-24,,1991,1015145.544,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y25-34,,1991,841203.947,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y35-44,,1991,650782.931,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y45-54,,1991,448099.657,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_Y55-64,,1991,350242.031,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_10YRBANDS_YGE65,,1991,337331.819,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_TOTAL,,1991,2724302.513,R1:2474
